n,f,c,d,time,sched_len
60,2,8,8,0.1404285539999819,5826
60,2,8,4,0.0776099719999479,2998
70,2,12,12,0.29015241599995534,13158
70,2,12,8,0.19689855699999725,8806
70,2,12,4,0.10466368800001646,4444
70,2,8,8,0.19277112400004626,6030
70,2,8,4,0.10224019100002124,3050
80,2,12,12,0.39079870799997707,13732
80,2,12,8,0.27094965199995613,9422
80,2,12,4,0.1410178289999635,4748
80,2,8,8,0.26163403599997537,6398
80,2,8,4,0.13985962600003177,3224
90,2,12,12,0.4870585470000037,14130
90,2,12,8,0.3302263070000322,9474
90,2,12,4,0.17418756999995821,4812
90,2,8,8,0.3212089950000063,6420
90,2,8,4,0.1732980919999818,3252
100,2,12,12,0.6121138729999984,14758
100,2,12,8,0.41234701800004814,9808
100,2,12,4,0.22152291600002627,5092
100,2,8,8,0.40557983000002196,6600
100,2,8,4,0.22038476099999116,3438
200,2,12,12,2.7244577100000242,17096
200,2,12,8,1.8608381899999813,11546
200,2,12,4,0.9953753109999752,6008
200,2,8,8,1.89513316700004,7768
200,2,8,4,1.0510693800000013,4072
300,2,12,12,6.50815938400001,18516
300,2,12,8,4.423650562999967,12444
300,2,12,4,2.334168176999981,6372
300,2,8,8,4.562825191000002,8396
300,2,8,4,2.559122570999989,4348
400,2,12,12,12.14737710999998,19408
400,2,12,8,8.436571112000024,13072
400,2,12,4,4.480909044999976,6736
400,2,8,8,9.064195520999988,8848
400,2,8,4,5.032778595000025,4624
500,2,12,12,19.430998800999987,20300
500,2,12,8,13.853850504999969,13700
500,2,12,4,7.447985522000067,7100
500,2,8,8,15.377441738000016,9300
500,2,8,4,9.923255078000011,4900
10,2,12,12,0.006818070000008447,3390
10,2,12,8,0.004806161000033171,2214
10,2,12,4,0.0031075040000132503,1240
10,2,8,8,0.004657660000020769,1966
10,2,8,4,0.0030262330000141446,1066
20,2,12,12,0.024110469999982342,6608
20,2,12,8,0.016384431999995286,4316
20,2,12,4,0.009367493000013383,2296
20,2,8,8,0.015851004999944962,3572
20,2,8,4,0.009042654000040784,1718
30,2,12,12,0.053628797999976996,8924
30,2,12,8,0.03742860299996664,6046
30,2,12,4,0.020365709999964565,2998
30,2,8,8,0.03575248999993619,4610
30,2,8,4,0.01968314900000223,2300
40,2,12,12,0.09595261799995569,10590
40,2,12,8,0.06559345499999836,7086
40,2,12,4,0.03513047199999164,3536
40,2,8,8,0.06212389899997106,5052
40,2,8,4,0.034079145000077915,2566
50,2,12,12,0.14792718299997887,11676
50,2,12,8,0.10248437899997498,7856
50,2,12,4,0.05476843499991446,3972
50,2,8,8,0.09867629699999725,5562
50,2,8,4,0.05326799399995252,2818
60,2,12,12,0.2190583390000711,12626
60,2,12,8,0.14550388399993608,8356
60,2,12,4,0.07927553699994405,4334
60,2,8,8,0.14149301499992362,5802
60,2,8,4,0.07761938900000587,3034
70,2,12,12,0.2914598309999974,13224
70,2,12,8,0.1977021270000705,8808
70,2,12,4,0.10427703300001667,4444
70,2,8,8,0.19158732199991846,6024
70,2,8,4,0.10291235799991227,3050
80,2,12,12,0.38771341500000744,13826
80,2,12,8,0.2736548650000259,9410
80,2,12,4,0.14340205200005585,4766
80,2,8,8,0.26535867799998414,6386
80,2,8,4,0.14100437799993415,3248
90,2,12,12,0.4931497690000697,14142
90,2,12,8,0.3352705199999946,9474
90,2,12,4,0.17631013900006565,4782
90,2,8,8,0.3260047649999933,6420
90,2,8,4,0.17603016500004287,3258
100,2,12,12,0.6132609620000267,14770
100,2,12,8,0.4122769769999195,9778
100,2,12,4,0.221674280000002,5068
100,2,8,8,0.4034447710000677,6606
100,2,8,4,0.22221583299995018,3444
200,2,12,12,2.722629289999986,17096
200,2,12,8,1.8691326100000651,11552
